objectid,filename,title,creator,date,description,subject headings,age of Ellie,additional people or pets pictured,location,contributor,type,format,language,rights,rightsstatement
ellie001,IMG_0102.jpeg,Ellie's First Day Home,"Ostrander (McQuiston), E.M.",5/17/2011,"The photograph shows the first day Ellie came to live with the McQuiston family. Ellie chews on a stick in the yard at the Maxwell, IA, house.",dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,08 weeks old,NA,"Maxwell, Iowa",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie002,IMG_0249.jpeg,Ellie's Slipper Snack,"Ostrander (McQuiston), E.M.",7/6/2012,"The photograph shows Ellie chewing up a pink slipper. This photo was taken and posted to Facebook by Lori Mcquiston with the caption, “In this picture, Ellie is saying, “My mom is hiking the coast of Italy this weekend, so I ate her favorite slippers.”",dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,01 years 04 months,NA,"Maxwell, Iowa",Lori McQuiston,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Lori McQuiston.,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie003,IMG_0250.jpeg,Selfie of Ellie and Emily,"Ostrander (McQuiston), E.M.",7/9/2013,The photograph is a selfie showing Ellie and Emily on a hot summer day. ,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,02 years 04 months,Emily (McQuiston) Ostrander (22 years old),Iowa,NA,Digital Image,image/PNG,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie004,IMG_0132.jpeg,Ellie Wearing a Bandana,"Ostrander (McQuiston), E.M.",11/17/2014,"The photograph shows Ellie wearing a bandana on the green carpet in the Maxwell, Iowa, house.",dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,03 years 08 months,NA,"Maxwell, Iowa",Lori McQuiston,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Lori McQuiston.,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie005,IMG_0244.jpeg,Ellie the Flower Dog,"Ostrander (McQuiston), E.M.",11/28/2015,The photograph shows Ellie wearing a red and yellow rose collar as the flower dog in Emily and Luke's wedding.,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,04 years 08 months,NA,"Urbandale, Iowa",Lori McQuiston,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Lori McQuiston.,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie006,IMG_0251.jpeg,Ellie is Going to be a Big Sister,"Ostrander (McQuiston), E.M.",9/17/2016,The photograph shows Ellie standing with Luke and Emily Ostrander in a pregnancy announcement. ,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,05 years 06 months,Luke and Emily Otrander (24 years old),"Oak Grove, Kentucky",Peggy Ostrander,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Peggy Ostrander.,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie007,IMG_1234.jpeg,Ellie is a Big Sister - Family Photo,"Ostrander (McQuiston), E.M.",3/26/2017,"The photograph shows Ellie with Luke, Emily, and Baby Rylee in our first family photo.",dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,06 years,Luke and Emily Ostrander (25 years old) Rylee Ostrander ( 3 weeks old),"Oak Grove, Kentucky",Peggy Ostrander,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Peggy Ostrander.,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie008,IMG_0247.jpeg,Ellie and Rylee Admiring the View,"Ostrander (McQuiston), E.M.",1/7/2018,"The photograph shows Ellie standing with Rylee, admiring the backyard view. ",dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,06 years 10 months,Rylee Ostrander (10 months old),"Oak Grove, Kentucky",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie009,IMG_2345.jpeg,Ellie and Rylee Sitting on the Front Step,"Ostrander (McQuiston), E.M.",5/26/2019,The photograph shows Ellie standing with Rylee on the front porch. ,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,08 years 02 months,Rylee Ostrander (2 years),"Oak Grove, Kentucky",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie010,IMG_0255.jpeg,Ellie Posing for the Camera,"Ostrander (McQuiston), E.M.",4/14/2020,The photograph shows Ellie posing in our on-post home on Fort Benning. ,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,09 years 01 month,NA,"Fort Benning, Georgia",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie011,IMG_0246.jpeg,Ellie and Dean Having a Snack,"Ostrander (McQuiston), E.M.",6/8/2021,"The photograph shows Ellie with Dean Ostrander enjoying a snack in the yard. Ellie has a bone, and Dean has a popsicle.",dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,10 years 03 months,Dean Ostrander (21 months),"Fayetteville, North Carolina",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie012,IMG_0257.jpeg,Ellie Hiking with the Family,"Ostrander (McQuiston), E.M.",7/19/2022,"The photograph shows Ellie on a hike with Luke, Rylee, and Dean.",dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,11 years 04 months,Luke (30 years) Rylee (5 years) Dean (2.5 years),"Fayetteville, North Carolina",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie013,IMG_0258.jpeg,Ellie and Emily Hug,"Ostrander (McQuiston), E.M.",3/23/2023,The photograph shows Ellie and Emily hugging on the back deck on Ellie's 12th Birthday!,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,12 years,Emily (31 years),"Clarksville, Tennessee",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie014,IMG_0260.jpeg,Ellie Posing on a Summer Day,"Ostrander (McQuiston), E.M.",7/11/2024,The photograph shows Ellie posing in the front steps on a summer day.,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,13 years 04 months,NA,"Clarksville, Tennessee",NA,Digital Image,image/PNG,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
ellie015,IMG_0060.jpeg,Ellie Out for a Winter Walk,"Ostrander (McQuiston), E.M.",2/22/2025,The photograph shows Ellie taking a rest on a winter walk.,dogs;photography of pets;mixed dog breed; golden retriever; labrador retriever,13 years 11 months,NA,"Hopkinsville, Kentucky",NA,Digital Image,image/jpeg,eng,This electronic image was taken on a personal device and made available by Emily (McQuiston) Ostrander,"This material may be used for educational purposes only. For all other uses, contact Emily Ostrander."
